station,run,fiber,att,freq_band,ch,snr,snr_sigma,hilbert_snr,hilbert_snr_sigma,zenith,zenith_sigma,vpos,vpos_sigma,vneg,vneg_sigma,integral,integral_sigma,vdiff,noise,noise_sigma,hilbert_noise,hilbert_noise_sigma
11,1801,1,0,"(175, 300)",7,18.56267398939812,1.6920983121565714,337.07655774682144,31.54404877164304,138.889078269197,0.11549368964779334,0.042511105880314926,0.002421922280901695,-0.03889012882557142,0.002134994347650776,0.5725086546532436,0.034180477574346356,0.003620977054743506,0.002204001130661536,0.00016016808879402484,0.0017072043707448605,0.00012366761754231375
11,1801,1,0,"(300, 425)",0,13.303735900789231,7.055271753252766,251.40727101570675,136.79587022602993,65.28224926472305,0.13652220677557625,0.039195162549998566,0.021919105832673896,-0.038176416739629807,0.02104946216260631,0.5580489997009334,0.3155604298591118,0.0010187458103687597,0.0027885601361933203,0.0003527640071736221,0.0021538088377119806,0.00026272492470069095
11,1801,1,0,"(300, 425)",1,15.764453315344573,7.482274731678915,290.5797833454876,130.55731043010056,66.68799815120423,0.13884244792433367,0.057483035971478164,0.028301261621961504,-0.05516187044869612,0.026807189168176194,0.7956989223971002,0.36583524547601753,0.002321165522782047,0.003466333817274513,0.00042555099210681447,0.002677761970631528,0.00032811883075058943
11,1801,1,0,"(300, 425)",2,20.000519040606896,6.45993889746334,351.31164952321126,123.9721454950898,68.05444806778304,0.1410735779374561,0.04384811957069624,0.014059533627613252,-0.04338401396305314,0.014073563013413313,0.5825851333928282,0.1828178650008795,0.00046410560764309494,0.002183558553275835,0.0003370473239059205,0.001688797441654591,0.0002556924261956172
11,1801,1,0,"(300, 425)",3,25.30110781713998,5.516487728987854,429.1481270904061,113.39491648748918,69.50019290763427,0.14338722433143722,0.062314966352517306,0.01273755725671845,-0.0607245754794907,0.012493627179734727,0.7994451716685588,0.18371573655065662,0.0015903908730266064,0.0024415219243438826,0.000341013317475889,0.001886627091854468,0.0002526322602636602
11,1801,1,0,"(300, 425)",8,5.093550127058338,1.1246663279427276,106.45361153464228,20.557325946141805,70.9014387122788,0.14556438746645253,0.01403197065063688,0.00289024489321142,-0.014168533024469635,0.0029157313685227782,0.22841869978361948,0.04099475258632312,-0.00013656237383275448,0.0027821116349675324,0.0001472163985053221,0.002154866161630672,0.00011356359906642504
11,1801,1,0,"(300, 425)",4,5.7296675595148985,1.299175829098478,120.32796632095973,23.943036296738878,72.29890593763761,0.14765406120770164,0.02801585269315829,0.005298080392650412,-0.02841910472389242,0.005820254749215603,0.4589833459441464,0.07700846720407187,-0.0004032520307341303,0.0049587416171797336,0.0002796954170909214,0.0038400170136605144,0.000216848982159609
11,1801,1,0,"(300, 425)",5,70.86200581401911,4.986569184599105,1163.7266761506198,76.05724790330461,91.29301910594927,0.16177475650538062,0.35971722252514715,0.029208976079140185,-0.3601916130048442,0.02940069968268918,4.577402645434054,0.3373238562962217,-0.00047439047969705106,0.005081057346425645,0.00028642301837532275,0.003935216655654973,0.00022159589333666844
11,1801,1,0,"(300, 425)",6,15.733399800227176,1.4208224387752864,277.5237938039943,23.71251730403136,120.42472902249509,0.12730619337688315,0.07877640930733935,0.005474643835191046,-0.07607902484129611,0.0051467836717147665,1.0576143528952315,0.06149034508434558,0.0026973844660432428,0.004941003611319532,0.00031773648037690736,0.003826488504422379,0.0002466665402913526
11,1801,1,0,"(300, 425)",7,5.579237467467271,1.0043381405680019,118.30076639806032,17.078271113339387,138.889078269197,0.11549368964779334,0.012376633451277905,0.0022232253554244677,-0.012535809442726979,0.0023249049641608436,0.20390241953156593,0.026305656240437042,-0.00015917599144907313,0.002237096784692383,0.00014390036169344245,0.001731907714717287,0.00011133140028550966
11,1801,1,0,"(425, 550)",0,9.342777433528802,4.224021455363104,162.05284804012553,65.4519049968686,65.28224926472305,0.13652220677557625,0.021543247437035458,0.010240817028879174,-0.02135714436459619,0.010197996619007629,0.282861031453787,0.1128482375913102,0.00018610307243926635,0.002254766705682979,0.0002856332329864606,0.0017484410373306487,0.00021765245405074707
11,1801,1,0,"(425, 550)",1,10.007698618030046,4.037938175593316,191.40913179745158,71.24355405600116,66.68799815120423,0.13884244792433367,0.027025980911950513,0.011215855313636485,-0.027156513390938455,0.011163274562382676,0.39971528344366736,0.14972396488066947,-0.00013053247898794224,0.0026877636391337647,0.00017035006731242285,0.0020804339922242962,0.00013007208417004586
11,1801,1,0,"(425, 550)",2,10.474198381881783,2.9187456478087985,193.56396328715843,52.23143760496634,68.05444806778304,0.1410735779374561,0.01744794098835536,0.005279124661748754,-0.017362376229471958,0.005098117181666317,0.24577314549810914,0.0600604344228001,8.556475888340381e-05,0.0016582472704181495,0.00019407278710460672,0.0012820454746195963,0.0001461646302224137
11,1801,1,0,"(425, 550)",3,13.177951864314757,2.5716818385215956,235.74336269824985,55.74967457340406,69.50019290763427,0.14338722433143722,0.02461049523706415,0.004159386166995453,-0.025014485093995183,0.0043202388561924395,0.34225928447275045,0.06977954868995889,-0.0004039898569310335,0.0018968671489731294,0.0001578501291491402,0.0014682751356479265,0.00012173404115240196
11,1801,1,0,"(425, 550)",8,4.997966667049091,0.9145393874354053,104.5619462707401,18.313381803594016,70.9014387122788,0.14556438746645253,0.012059401162447107,0.0021939708162202008,-0.01210790459032233,0.0023408617344159886,0.19562159964550502,0.03385709819201162,-4.850342787522319e-05,0.0024231304637054043,0.00016309828976108798,0.0018766413066345306,0.00012635861783785447
11,1801,1,0,"(425, 550)",4,4.671548145548116,0.9443123235430478,111.99212193145607,19.184329189374708,72.29890593763761,0.14765406120770164,0.020329042535207335,0.0035514911941973196,-0.020502798043044577,0.0038283575992503743,0.3789446372789756,0.05605603469327074,-0.00017375550783724214,0.0043973802587441895,0.00030871574352079136,0.0034057021577634833,0.0002392620198839555
11,1801,1,0,"(425, 550)",5,29.684086816538947,1.8111772925260954,639.0644825967106,43.944528133467905,91.29301910594927,0.16177475650538062,0.11200082903242349,0.0056131268821900384,-0.11015185248679696,0.006846041301502596,1.8514560852423356,0.10623335656539337,0.0018489765456265322,0.003749864948906011,0.0002066323302092891,0.0029034716492442126,0.00015983850825026567
11,1801,1,0,"(425, 550)",6,10.939656165584708,0.9549642776823193,206.564452549088,20.634297408386445,120.42472902249509,0.12730619337688315,0.045489391930974094,0.0037897697370528945,-0.04555480377500525,0.0039372365607036235,0.6656944315189662,0.06293221582930215,-6.54118440311588e-05,0.004173357699192517,0.0002898861916518239,0.0032322725290380343,0.0002242893675030564
11,1801,1,0,"(425, 550)",7,9.093557056122298,1.2162312889732374,183.9242543717179,20.920184860104854,138.889078269197,0.11549368964779334,0.01638697823718353,0.0020974248615033835,-0.016773764317506542,0.001997086720831128,0.25958513210424544,0.023906396467082577,-0.0003867860803230122,0.0018302640909067978,0.00012704538066492428,0.0014178772687342676,9.789812970101405e-05
11,1801,1,0,"(550, 750)",0,9.301043274238506,4.054100582821746,142.21655391562646,55.87550902091305,65.28224926472305,0.13652220677557625,0.01406847695487882,0.006329088406679464,-0.013954186149404817,0.006202304721688925,0.1627841692266787,0.06046612773005255,0.000114290805474003,0.0014990608637119789,0.00013804247114256317,0.0011548035768537083,9.936698831850155e-05
11,1801,1,0,"(550, 750)",1,10.386091258545948,4.5048125503864105,164.60971706470457,55.508109647410514,66.68799815120423,0.13884244792433367,0.01890163473122771,0.00791255646049395,-0.01825415921808171,0.007797586444993421,0.22768858155905294,0.07361355866998247,0.0006474755131459994,0.001805841557841721,0.00016483516002561407,0.0013942140371782398,0.0001277672330141406
11,1801,1,0,"(550, 750)",2,10.170387885006283,2.8757038230722274,157.04601971473508,42.59288854277394,68.05444806778304,0.1410735779374561,0.011439749091426745,0.0033273731963892744,-0.010988322253641682,0.002957775521011149,0.13325044716320517,0.031564143190537255,0.0004514268377850631,0.0011096572500005084,9.050102429225158e-05,0.0008590778026407291,6.998804385641043e-05
11,1801,1,0,"(550, 750)",3,11.864506795363841,2.1989263375678507,168.34837184698708,34.45147999578135,69.50019290763427,0.14338722433143722,0.015093068839237486,0.003078099398253851,-0.015519966485844083,0.0029776290008455557,0.16758821842309493,0.03284153416338005,-0.0004268976466065971,0.0012889397834301762,7.314156505872154e-05,0.0009971174167048298,5.551749052764318e-05
