### in-situ pulsing run information
### Information which in-situ pulsers were turned on. Inserted all runs taken before 2024.
### information collected from the run configuration files
station,run,quality_check_passed,pulser
24,916,True,fiber1
24,917,True,fiber1
24,918,True,fiber0
24,919,True,fiber0
24,920,True,fiber0
24,921,True,fiber0
24,922,True,fiber0
24,923,True,fiber0
24,924,True,fiber1
24,925,True,fiber1
24,926,True,fiber0
24,927,True,fiber0
24,931,True,fiber0
